receiver_window_size,tm
8192,1681190265.9265897
16384,1681190265.9275584
8192,1681190265.9275584
16384,1681190265.9285574
32768,1681190265.9295547
16384,1681190265.9305506
32768,1681190265.9305506
16384,1681190265.9315479
8192,1681190265.9325461
16384,1681190265.933543
32768,1681190265.9395406
16384,1681190265.9710903
8192,1681190265.9760778
4096,1681190265.9770758
8192,1681190265.9770758
16384,1681190265.9790704
32768,1681190265.9800696
16384,1681190266.0619354
8192,1681190266.0639298
4096,1681190266.0669203
8192,1681190266.0759065
16384,1681190266.079884
32768,1681190266.09584
16384,1681190266.107811
8192,1681190266.107811
4096,1681190266.109841
8192,1681190266.110803
16384,1681190266.1117997
32768,1681190266.112799
16384,1681190266.113796
8192,1681190266.1277912
16384,1681190266.1277912
8192,1681190266.132747
4096,1681190266.1337433
8192,1681190266.1337433
4096,1681190266.134742
2048,1681190266.1367347
1024,1681190266.1397276
2048,1681190266.1407256
1024,1681190266.1417227
2048,1681190266.1417227
1024,1681190266.1596751
2048,1681190266.1596751
1024,1681190266.1636648
2048,1681190266.1646633
1024,1681190266.1656604
2048,1681190266.1776297
1024,1681190266.1796248
2048,1681190266.1796248
1024,1681190266.180623
2048,1681190266.180623
1024,1681190266.1816227
2048,1681190266.184612
1024,1681190266.1876128
2048,1681190266.2056446
1024,1681190266.2066462
2048,1681190266.2098525
1024,1681190266.2098525
2048,1681190266.2108498
1024,1681190266.2108498
2048,1681190266.2118468
1024,1681190266.221614
2048,1681190266.224521
1024,1681190266.233506
2048,1681190266.2374866
1024,1681190266.238485
2048,1681190266.2783785
1024,1681190266.2793763
2048,1681190266.280374
1024,1681190266.2843635
2048,1681190266.3003223
1024,1681190266.3013217
2048,1681190266.3023164
1024,1681190266.3073044
2048,1681190266.3073044
1024,1681190266.3083034
2048,1681190266.3093
1024,1681190266.3093
2048,1681190266.3093
1024,1681190266.3322396
2048,1681190266.3332403
1024,1681190266.3382242
2048,1681190266.3402188
1024,1681190266.3631022
2048,1681190266.3671007
1024,1681190266.3680897
2048,1681190266.4022996
1024,1681190266.4032943
2048,1681190266.4480565
1024,1681190266.4490576
2048,1681190266.4550376
1024,1681190266.4718285
2048,1681190266.4748302
1024,1681190266.4796991
2048,1681190266.484689
1024,1681190266.493664
2048,1681190266.4996471
1024,1681190266.5016434
2048,1681190266.503644
1024,1681190266.5046358
2048,1681190266.507627
1024,1681190266.5106783
2048,1681190266.5126138
1024,1681190266.513614
2048,1681190266.515605
1024,1681190266.535552
2048,1681190266.5365498
1024,1681190266.5385442
2048,1681190266.5395415
1024,1681190266.5395415
2048,1681190266.5405395
1024,1681190266.5415368
2048,1681190266.5415368
1024,1681190266.5425344
2048,1681190266.5435321
1024,1681190266.5445287
2048,1681190266.5445287
1024,1681190266.545526
2048,1681190266.5465236
1024,1681190266.5676403
2048,1681190266.5716305
1024,1681190266.5809412
2048,1681190266.5858252
1024,1681190266.5958054
2048,1681190266.6027834
1024,1681190266.6127636
2048,1681190266.6148086
1024,1681190266.622419
2048,1681190266.6254811
1024,1681190266.6264186
2048,1681190266.6641726
1024,1681190266.6701572
2048,1681190266.6776414
1024,1681190266.6786516
2048,1681190266.6909828
1024,1681190266.6957138
2048,1681190266.6993747
1024,1681190266.7004092
2048,1681190266.7023995
1024,1681190266.7043808
2048,1681190266.7053685
1024,1681190266.7073793
2048,1681190266.7223103
1024,1681190266.7253025
2048,1681190266.7675667
1024,1681190266.7765553
2048,1681190266.7785492
1024,1681190266.7845395
2048,1681190266.7885394
1024,1681190266.7895322
2048,1681190266.7915158
1024,1681190266.7925136
2048,1681190266.7935154
1024,1681190266.8149374
2048,1681190266.8169384
1024,1681190266.8237114
2048,1681190266.826172
1024,1681190266.827244
2048,1681190266.8607504
1024,1681190266.8617842
2048,1681190266.8647408
1024,1681190266.8657372
2048,1681190266.8687272
1024,1681190266.8935158
2048,1681190266.8945174
1024,1681190266.8981297
2048,1681190266.9001248
1024,1681190266.901557
2048,1681190266.9255495
1024,1681190266.928038
2048,1681190266.940698
1024,1681190266.9416943
2048,1681190266.9447248
1024,1681190266.947421
2048,1681190266.949413
1024,1681190266.9503767
2048,1681190266.9707234
1024,1681190266.9737203
2048,1681190266.9749494
1024,1681190266.9749494
2048,1681190266.976949
4096,1681190266.976949
2048,1681190266.9779904
1024,1681190266.9799438
2048,1681190266.982962
4096,1681190266.9837065
2048,1681190267.0027642
4096,1681190267.0037775
2048,1681190267.0066946
4096,1681190267.0073066
2048,1681190267.008309
4096,1681190267.0093064
2048,1681190267.0093064
4096,1681190267.0103061
2048,1681190267.0103061
4096,1681190267.0112994
2048,1681190267.0352054
1024,1681190267.0352054
2048,1681190267.0411894
1024,1681190267.0421867
2048,1681190267.0432267
1024,1681190267.0432267
2048,1681190267.045179
1024,1681190267.045179
2048,1681190267.0461762
1024,1681190267.047174
2048,1681190267.052161
1024,1681190267.053008
2048,1681190267.0536366
1024,1681190267.0588827
2048,1681190267.061871
1024,1681190267.064829
2048,1681190267.0658276
1024,1681190267.0668252
2048,1681190267.0678227
4096,1681190267.0678227
2048,1681190267.0688193
1024,1681190267.0698166
2048,1681190267.072809
1024,1681190267.072809
2048,1681190267.073806
4096,1681190267.073806
8192,1681190267.0748038
4096,1681190267.0748038
2048,1681190267.0758007
1024,1681190267.076798
2048,1681190267.0787942
1024,1681190267.0787942
2048,1681190267.096747
1024,1681190267.097744
2048,1681190267.0997396
4096,1681190267.1027315
2048,1681190267.104726
1024,1681190267.104726
2048,1681190267.1276453
1024,1681190267.1287098
2048,1681190267.1311674
1024,1681190267.1311674
2048,1681190267.132169
1024,1681190267.132169
2048,1681190267.1363838
4096,1681190267.1373835
2048,1681190267.1373835
1024,1681190267.1431706
2048,1681190267.1452265
1024,1681190267.1492915
2048,1681190267.1562805
4096,1681190267.160314
2048,1681190267.163166
1024,1681190267.163166
2048,1681190267.1644008
1024,1681190267.1654434
2048,1681190267.1702216
1024,1681190267.1702216
2048,1681190267.172217
4096,1681190267.1732125
2048,1681190267.1742098
4096,1681190267.1742098
2048,1681190267.1752098
4096,1681190267.1752098
2048,1681190267.1762078
1024,1681190267.1774325
2048,1681190267.1891932
4096,1681190267.193135
8192,1681190267.7068899
16384,1681190267.7078872
8192,1681190267.710849
4096,1681190267.710849
2048,1681190267.7118504
4096,1681190267.7118504
2048,1681190267.7128477
4096,1681190267.7138448
2048,1681190267.7148418
4096,1681190267.7148418
2048,1681190267.7355924
1024,1681190267.738291
2048,1681190267.7388625
1024,1681190267.7388625
2048,1681190267.7398639
1024,1681190267.740861
2048,1681190267.742376
4096,1681190267.7449818
8192,1681190267.7449818
4096,1681190267.7469332
8192,1681190267.7469332
4096,1681190267.7488616
2048,1681190267.7488616
1024,1681190267.7498596
2048,1681190267.7508755
1024,1681190267.751854
2048,1681190267.7661722
4096,1681190267.768386
8192,1681190267.768386
16384,1681190267.769331
32768,1681190267.769331
16384,1681190267.805101
8192,1681190267.8061702
4096,1681190267.8091018
8192,1681190267.8160865
4096,1681190267.819072
8192,1681190267.8230631
16384,1681190267.8245857
32768,1681190267.8255801
16384,1681190267.8846247
8192,1681190267.8856208
4096,1681190267.888616
2048,1681190267.888616
1024,1681190267.890608
2048,1681190267.8916056
1024,1681190267.8926046
2048,1681190267.8936014
4096,1681190267.8945994
8192,1681190267.899584
16384,1681190267.899584
32768,1681190267.9005814
16384,1681190267.912553
8192,1681190267.9135487
16384,1681190267.9135487
8192,1681190267.9135487
4096,1681190267.9145467
8192,1681190267.9155438
4096,1681190267.9155438
2048,1681190267.9165409
1024,1681190267.917539
2048,1681190267.9195323
4096,1681190267.9205313
8192,1681190267.9215279
16384,1681190267.9354918
32768,1681190267.9444692
16384,1681190267.9511778
8192,1681190267.9665313
4096,1681190267.9703345
2048,1681190267.9713337
4096,1681190267.9723303
2048,1681190267.9815075
4096,1681190267.9823024
8192,1681190267.9852965
16384,1681190267.99692
32768,1681190268.0042262
16384,1681190268.0291066
32768,1681190268.0321023
16384,1681190268.0465338
32768,1681190268.0465338
16384,1681190268.0486705
8192,1681190268.0486705
16384,1681190268.049636
8192,1681190268.0506322
16384,1681190268.0506322
8192,1681190268.0506322
4096,1681190268.051629
8192,1681190268.051629
16384,1681190268.0613122
32768,1681190268.0760443
16384,1681190268.234599
8192,1681190268.2355952
16384,1681190268.2355952
8192,1681190268.2365935
4096,1681190268.2365935
8192,1681190268.2375903
16384,1681190268.2375903
8192,1681190268.2385862
4096,1681190268.2395835
2048,1681190268.2395835
4096,1681190268.2405808
8192,1681190268.2405808
16384,1681190268.241579
32768,1681190268.2425773
16384,1681190268.248571
32768,1681190268.2495594
16384,1681190268.2510686
8192,1681190268.252039
16384,1681190268.252039
8192,1681190268.265204
16384,1681190268.2672038
32768,1681190268.2943156
16384,1681190268.3380713
8192,1681190268.3563952
16384,1681190268.3584268
8192,1681190268.3611422
4096,1681190268.3611422
2048,1681190268.372281
4096,1681190268.374282
8192,1681190268.3762774
16384,1681190268.3883424
32768,1681190268.3952365
16384,1681190268.4307709
8192,1681190268.4307709
4096,1681190268.43183
8192,1681190268.43283
4096,1681190268.43283
8192,1681190268.4338274
16384,1681190268.4338274
32768,1681190268.4348247
16384,1681190268.4348247
8192,1681190268.4359996
4096,1681190268.4359996
2048,1681190268.4370024
4096,1681190268.4370024
2048,1681190268.4370024
4096,1681190268.437999
8192,1681190268.4504619
16384,1681190268.4546478
32768,1681190268.4552374
16384,1681190268.4690282
8192,1681190268.4690282
4096,1681190268.470028
8192,1681190268.4708533
4096,1681190268.4818163
2048,1681190268.4818163
4096,1681190268.482812
8192,1681190268.4838078
16384,1681190268.4848073
8192,1681190268.4858027
4096,1681190268.496092
8192,1681190268.4966931
4096,1681190268.5016847
2048,1681190268.502681
4096,1681190268.5036888
2048,1681190268.5042746
4096,1681190268.505277
8192,1681190268.5273829
16384,1681190268.5317707
32768,1681190268.5337737
16384,1681190268.5413978
8192,1681190268.5423987
16384,1681190268.5433943
8192,1681190268.5579598
4096,1681190268.559962
2048,1681190268.5609596
1024,1681190268.561954
2048,1681190268.563565
4096,1681190268.5665607
8192,1681190268.5675576
16384,1681190268.568557
32768,1681190268.569554
16384,1681190268.5903378
32768,1681190268.5913463
16384,1681190268.595167
32768,1681190268.5960107
16384,1681190268.5960107
8192,1681190268.597013
16384,1681190268.5977943
32768,1681190268.6000788
16384,1681190268.6214218
32768,1681190268.622425
16384,1681190268.6292
8192,1681190268.6292
4096,1681190268.630201
8192,1681190268.6312015
16384,1681190268.632199
32768,1681190268.632199
16384,1681190268.6544502
32768,1681190268.6548932
16384,1681190268.6567907
8192,1681190268.6567907
16384,1681190268.6576962
8192,1681190268.6576962
4096,1681190268.6695092
8192,1681190268.6831658
16384,1681190268.6920915
32768,1681190268.6938286
16384,1681190268.6980336
8192,1681190268.699037
4096,1681190268.7000391
8192,1681190268.7010305
4096,1681190268.7010305
8192,1681190268.7020276
4096,1681190268.7161713
8192,1681190268.7169733
4096,1681190268.7189748
2048,1681190268.7189748
1024,1681190268.7200568
2048,1681190268.722305
4096,1681190268.7233262
8192,1681190268.7243273
16384,1681190268.7253263
32768,1681190268.747957
16384,1681190268.8415577
32768,1681190268.8445532
16384,1681190268.8467216
32768,1681190268.847569
16384,1681190268.847569
8192,1681190268.8485713
16384,1681190268.8488855
8192,1681190268.8727262
16384,1681190268.8737242
32768,1681190268.8753726
16384,1681190268.9048214
8192,1681190268.907811
4096,1681190268.907811
8192,1681190268.9088116
16384,1681190268.9108028
32768,1681190268.9108028
16384,1681190268.9862833
32768,1681190268.987581
16384,1681190268.9916406
8192,1681190268.993653
16384,1681190268.9946544
8192,1681190268.995643
4096,1681190269.0006833
8192,1681190269.0039465
16384,1681190269.0068676
32768,1681190269.0078754
16384,1681190269.0284724
32768,1681190269.0295095
16384,1681190269.0317297
8192,1681190269.0336745
16384,1681190269.0344262
32768,1681190269.0590277
16384,1681190269.0737772
32768,1681190269.0747921
16384,1681190269.082844
8192,1681190269.082844
16384,1681190269.0838478
8192,1681190269.0847123
16384,1681190269.0857189
32768,1681190269.086712
16384,1681190269.117662
8192,1681190269.1186285
4096,1681190269.1186285
2048,1681190269.1206243
1024,1681190269.1206243
2048,1681190269.1226504
4096,1681190269.1236155
8192,1681190269.1355937
16384,1681190269.1455588
32768,1681190269.1455588
16384,1681190269.1856897
8192,1681190269.1856897
16384,1681190269.1866887
8192,1681190269.1977742
4096,1681190269.200775
2048,1681190269.2018392
4096,1681190269.2023983
8192,1681190269.2047596
16384,1681190269.2067626
32768,1681190269.2077622
16384,1681190269.2216306
8192,1681190269.2216306
4096,1681190269.2226536
8192,1681190269.2257779
16384,1681190269.2267804
32768,1681190269.227777
16384,1681190269.2751331
8192,1681190269.2751331
16384,1681190269.2778172
32768,1681190269.2784543
16384,1681190269.311255
8192,1681190269.3122518
16384,1681190269.3122518
8192,1681190269.3132493
16384,1681190269.3132493
8192,1681190269.3142488
16384,1681190269.3142488
32768,1681190269.3152459
16384,1681190269.3162422
8192,1681190269.3391821
16384,1681190269.3391821
8192,1681190269.3451667
4096,1681190269.3451667
2048,1681190269.3461654
4096,1681190269.347162
2048,1681190269.3701084
4096,1681190269.3707433
8192,1681190269.3739974
16384,1681190269.3749988
32768,1681190269.3749988
16384,1681190269.3833625
8192,1681190269.3843632
4096,1681190269.3873565
2048,1681190269.389353
1024,1681190269.389353
2048,1681190269.389353
4096,1681190269.3903472
8192,1681190269.3913453
16384,1681190269.3913453
32768,1681190269.3923433
16384,1681190269.4847686
32768,1681190269.485816
16384,1681190269.4877605
32768,1681190269.4887578
16384,1681190269.5093727
8192,1681190269.5124674
4096,1681190269.5145295
8192,1681190269.5164669
4096,1681190269.5405917
8192,1681190269.5414333
16384,1681190269.5484223
32768,1681190269.5504153
16384,1681190269.635508
8192,1681190269.635508
16384,1681190269.6365056
8192,1681190269.6365056
4096,1681190269.6384978
2048,1681190269.6394954
1024,1681190269.6404932
2048,1681190269.6404932
4096,1681190269.6414902
8192,1681190269.6645598
16384,1681190269.6680179
32768,1681190269.6680179
16384,1681190269.7419527
32768,1681190269.7459502
16384,1681190269.7523499
8192,1681190269.7523499
4096,1681190269.7533529
8192,1681190269.7543483
4096,1681190269.7573419
8192,1681190269.7593358
16384,1681190269.7884774
8192,1681190269.7923017
4096,1681190269.7923017
8192,1681190269.793308
4096,1681190269.793308
2048,1681190269.7942982
4096,1681190269.794837
2048,1681190269.794837
4096,1681190269.795707
8192,1681190269.8207302
4096,1681190269.8337164
2048,1681190269.834721
4096,1681190269.8367085
2048,1681190269.8367085
4096,1681190269.8377056
8192,1681190269.8393085
4096,1681190269.8393085
2048,1681190269.84131
4096,1681190269.8423102
8192,1681190269.8445425
16384,1681190269.8478863
32768,1681190269.8484979
16384,1681190269.8704545
8192,1681190269.8704545
4096,1681190269.8714502
2048,1681190269.8714502
4096,1681190269.8724484
2048,1681190269.883119
4096,1681190269.8841255
2048,1681190269.885119
4096,1681190269.885119
8192,1681190269.8872201
16384,1681190269.8989217
32768,1681190269.9029174
16384,1681190269.9468997
32768,1681190269.9479377
16384,1681190269.9513693
8192,1681190269.9513693
16384,1681190269.9513693
8192,1681190269.9526353
16384,1681190269.953651
8192,1681190269.9767745
16384,1681190269.9789174
32768,1681190269.9830225
16384,1681190270.0114472
8192,1681190270.0114472
4096,1681190270.012292
2048,1681190270.0142834
1024,1681190270.0142834
2048,1681190270.018278
4096,1681190270.0192742
8192,1681190270.0232258
16384,1681190270.0286815
32768,1681190270.0308554
16384,1681190270.079919
8192,1681190270.082151
4096,1681190270.082151
8192,1681190270.0831573
16384,1681190270.08416
8192,1681190270.08416
4096,1681190270.0851457
8192,1681190270.0851457
4096,1681190270.0871413
8192,1681190270.0871413
16384,1681190270.0901365
32768,1681190270.0901365
16384,1681190270.1183033
8192,1681190270.1193018
16384,1681190270.12031
8192,1681190270.121306
16384,1681190270.1222918
8192,1681190270.1232905
16384,1681190270.1232905
32768,1681190270.1242864
16384,1681190270.1252856
32768,1681190270.1262813
16384,1681190270.1262813
8192,1681190270.1272814
4096,1681190270.1292737
2048,1681190270.132267
1024,1681190270.132267
2048,1681190270.1332667
1024,1681190270.1332667
2048,1681190270.1352699
1024,1681190270.1362586
2048,1681190270.1372697
4096,1681190270.138252
8192,1681190270.1392496
16384,1681190270.1482632
8192,1681190270.1512177
4096,1681190270.1512177
8192,1681190270.1522164
16384,1681190270.164078
8192,1681190270.1700666
4096,1681190270.1710653
2048,1681190270.1720617
4096,1681190270.1720617
8192,1681190270.17306
4096,1681190270.17306
8192,1681190270.174056
4096,1681190270.174056
2048,1681190270.1770477
4096,1681190270.1770477
8192,1681190270.1790433
16384,1681190270.1790433
32768,1681190270.1800432
16384,1681190270.2724428
32768,1681190270.273317
16384,1681190270.2780244
8192,1681190270.2780244
4096,1681190270.288904
2048,1681190270.288904
4096,1681190270.289904
2048,1681190270.289904
4096,1681190270.2907853
2048,1681190270.2911892
4096,1681190270.2911892
2048,1681190270.292266
4096,1681190270.292266
8192,1681190270.2962568
16384,1681190270.2962568
32768,1681190270.2972565
16384,1681190270.3092256
32768,1681190270.3102226
16384,1681190270.3132153
8192,1681190270.3142123
16384,1681190270.3142123
8192,1681190270.334161
16384,1681190270.3351603
8192,1681190270.3381505
4096,1681190270.3391485
8192,1681190270.3391485
16384,1681190270.3401453
32768,1681190270.3411431
16384,1681190270.353112
32768,1681190270.353112
16384,1681190270.365081
8192,1681190270.366079
4096,1681190270.367079
2048,1681190270.368075
4096,1681190270.368075
8192,1681190270.3690727
16384,1681190270.3710673
32768,1681190270.3720636
16384,1681190270.3720636
32768,1681190270.3720636
16384,1681190270.412338
32768,1681190270.4322622
16384,1681190270.435251
32768,1681190270.4372447
16384,1681190270.438243
8192,1681190270.4392397
16384,1681190270.4412346
32768,1681190270.4432318
16384,1681190270.4776633
8192,1681190270.4786687
4096,1681190270.4796228
8192,1681190270.4796228
4096,1681190270.4826288
2048,1681190270.4846213
4096,1681190270.4856186
2048,1681190270.4856186
4096,1681190270.4866183
2048,1681190270.503684
4096,1681190270.5067432
8192,1681190270.536785
4096,1681190270.5477674
2048,1681190270.5487583
4096,1681190270.5507553
8192,1681190270.5537422
16384,1681190270.5547373
8192,1681190270.5547373
4096,1681190270.5567725
8192,1681190270.558726
4096,1681190270.5679128
8192,1681190270.5688558
4096,1681190270.5698564
2048,1681190270.5708535
1024,1681190270.5718522
2048,1681190270.5718522
1024,1681190270.5834758
2048,1681190270.5844786
4096,1681190270.5861173
8192,1681190270.59957
16384,1681190270.606425
32768,1681190270.6293886
16384,1681190270.634566
8192,1681190270.634566
4096,1681190270.6355681
8192,1681190270.6365633
4096,1681190270.637169
8192,1681190270.637169
4096,1681190270.6383197
2048,1681190270.6383197
4096,1681190270.6383197
2048,1681190270.639321
4096,1681190270.639321
8192,1681190270.6409352
16384,1681190270.6409352
32768,1681190270.6451197
16384,1681190270.66443
8192,1681190270.66443
16384,1681190270.6684184
8192,1681190270.6690621
4096,1681190270.6700637
8192,1681190270.6700637
4096,1681190270.6710596
8192,1681190270.6710596
16384,1681190270.6710596
32768,1681190270.6719923
16384,1681190270.6974592
8192,1681190270.6974592
16384,1681190270.698455
32768,1681190270.6994507
16384,1681190270.6994507
32768,1681190270.6994507
16384,1681190270.700448
32768,1681190270.7014458
16384,1681190270.7024755
8192,1681190270.7060022
4096,1681190270.706968
8192,1681190270.706968
16384,1681190270.7079651
8192,1681190270.7079651
4096,1681190270.7233396
8192,1681190270.7240596
16384,1681190270.7257159
32768,1681190270.7257159
16384,1681190270.7267184
8192,1681190270.7277153
16384,1681190270.7277153
8192,1681190270.7284925
4096,1681190270.7294693
2048,1681190270.7294693
4096,1681190270.7304695
8192,1681190270.7314625
16384,1681190270.7314625
32768,1681190270.7324643
16384,1681190270.7334633
8192,1681190270.7538502
16384,1681190270.755621
8192,1681190270.7566175
4096,1681190270.7576175
8192,1681190270.7586133
4096,1681190270.7586133
2048,1681190270.769412
4096,1681190270.7704194
8192,1681190270.7725239
16384,1681190270.7734506
32768,1681190270.7738998
16384,1681190270.7997985
8192,1681190270.8015866
16384,1681190270.8020532
32768,1681190270.8029299
16384,1681190270.8646655
8192,1681190270.8676577
4096,1681190270.8686576
8192,1681190270.8686576
16384,1681190270.8696525
32768,1681190270.8876405
16384,1681190270.8937078
8192,1681190270.8946729
16384,1681190270.895902
32768,1681190270.8967957
16384,1681190270.897782
8192,1681190270.8987823
16384,1681190270.9018204
32768,1681190270.9047701
16384,1681190270.9067612
8192,1681190270.907793
4096,1681190270.907793
2048,1681190270.9087925
4096,1681190270.910787
8192,1681190270.9112635
16384,1681190270.9252677
8192,1681190270.9308145
4096,1681190270.9308145
2048,1681190270.9328127
4096,1681190270.934647
2048,1681190270.9567947
4096,1681190270.9567947
8192,1681190270.95941
16384,1681190270.9646876
32768,1681190270.9690218
16384,1681190270.9700234
8192,1681190270.9702988
16384,1681190270.9713373
32768,1681190270.972297
16384,1681190270.972297
8192,1681190270.9732945
16384,1681190270.9732945
8192,1681190270.974294
16384,1681190270.974294
8192,1681190270.974294
16384,1681190270.975289
8192,1681190270.9883814
16384,1681190270.989389
8192,1681190270.9914355
4096,1681190270.9914355
2048,1681190270.9937735
4096,1681190270.996324
8192,1681190270.997139
16384,1681190270.9981408
32768,1681190270.9991379
16384,1681190271.027305
8192,1681190271.0283697
4096,1681190271.0495782
8192,1681190271.0595658
4096,1681190271.0643587
2048,1681190271.0653634
1024,1681190271.0673068
2048,1681190271.0683415
1024,1681190271.0810523
2048,1681190271.082019
4096,1681190271.087096
8192,1681190271.111596
16384,1681190271.1185775
32768,1681190271.1195786
16384,1681190271.1225648
8192,1681190271.1225648
4096,1681190271.1235645
8192,1681190271.12456
4096,1681190271.1425526
8192,1681190271.146503
4096,1681190271.1475003
2048,1681190271.1484978
4096,1681190271.1484978
8192,1681190271.1494956
4096,1681190271.150493
2048,1681190271.150493
4096,1681190271.1514902
2048,1681190271.1514902
4096,1681190271.1534853
8192,1681190271.1554816
16384,1681190271.1554816
8192,1681190271.1564784
4096,1681190271.1605058
2048,1681190271.1624625
1024,1681190271.1624625
2048,1681190271.1674566
4096,1681190271.1694448
8192,1681190271.1704443
16384,1681190271.1724477
32768,1681190271.1784227
16384,1681190271.2083457
8192,1681190271.2093413
16384,1681190271.2093413
8192,1681190271.2103395
4096,1681190271.2113369
8192,1681190271.2113369
4096,1681190271.2123342
8192,1681190271.2123342
4096,1681190271.2133312
8192,1681190271.2163234
4096,1681190271.2183194
2048,1681190271.219332
4096,1681190271.2203155
2048,1681190271.2352817
4096,1681190271.2362752
8192,1681190271.2392724
16384,1681190271.251157
32768,1681190271.2551076
16384,1681190271.2600923
8192,1681190271.2610922
4096,1681190271.2620897
2048,1681190271.2620897
1024,1681190271.2630847
2048,1681190271.2640846
1024,1681190271.2650816
2048,1681190271.2670772
1024,1681190271.268074
2048,1681190271.268074
4096,1681190271.2700686
8192,1681190271.2820354
4096,1681190271.2850277
2048,1681190271.2860286
1024,1681190271.297983
2048,1681190271.2999783
4096,1681190271.3009758
8192,1681190271.313942
16384,1681190271.3219237
32768,1681190271.3229196
16384,1681190271.3866522
8192,1681190271.3866522
16384,1681190271.3873298
32768,1681190271.3893278
16384,1681190271.4605546
8192,1681190271.4615533
4096,1681190271.4625509
8192,1681190271.4635465
4096,1681190271.4648237
8192,1681190271.465826
4096,1681190271.4675798
2048,1681190271.468581
1024,1681190271.4695747
2048,1681190271.4695747
1024,1681190271.470599
2048,1681190271.4715729
4096,1681190271.4733179
8192,1681190271.48632
16384,1681190271.495498
32768,1681190271.495498
16384,1681190271.6278203
32768,1681190271.6288166
16384,1681190271.6298132
8192,1681190271.630812
4096,1681190271.630812
8192,1681190271.6318061
16384,1681190271.6338034
32768,1681190271.634799
16384,1681190271.636164
8192,1681190271.636164
4096,1681190271.6371655
8192,1681190271.6381638
16384,1681190271.6381638
8192,1681190271.6381638
4096,1681190271.6391606
8192,1681190271.6391606
16384,1681190271.6401575
8192,1681190271.6421528
4096,1681190271.6441467
2048,1681190271.6441467
4096,1681190271.6441467
8192,1681190271.6451442
16384,1681190271.6461422
